unicode_character,unicode_codepoint,korean_source_code_or_index,intended_lead_byte,intended_trail_byte,page_number,glyph_index,width,source_atlas_coordinates,destination_atlas_coordinates,notes
▪,U+25AA,,C0,12,0,18,64,,"2,1",No matching source glyph in packed KS X 1001 atlas; destination left blank.
각,U+AC01,1,C0,1B,0,27,64,"hangulfont_1.tex:1,0","11,1",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
간,U+AC04,2,C0,1C,0,28,64,"hangulfont_1.tex:2,0","12,1",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
갇,U+AC07,3,C0,1D,0,29,64,"hangulfont_1.tex:3,0","13,1",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
갈,U+AC08,4,C0,1E,0,30,64,"hangulfont_1.tex:4,0","14,1",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
갉,U+AC09,5,C0,20,0,32,64,"hangulfont_1.tex:5,0","0,2",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
가,U+AC00,0,C0,21,0,33,64,"hangulfont_1.tex:0,0","1,2",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
감,U+AC10,7,C0,22,0,34,64,"hangulfont_1.tex:7,0","2,2",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
갑,U+AC11,8,C0,23,0,35,64,"hangulfont_1.tex:8,0","3,2",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
값,U+AC12,9,C0,24,0,36,64,"hangulfont_1.tex:9,0","4,2",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
갓,U+AC13,10,C0,25,0,37,64,"hangulfont_1.tex:10,0","5,2",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
갔,U+AC14,11,C0,26,0,38,64,"hangulfont_1.tex:11,0","6,2",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
강,U+AC15,12,C0,27,0,39,64,"hangulfont_1.tex:12,0","7,2",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
갖,U+AC16,13,C0,28,0,40,64,"hangulfont_1.tex:13,0","8,2",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
갗,U+AC17,14,C0,29,0,41,64,"hangulfont_1.tex:14,0","9,2",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
같,U+AC19,15,C0,2A,0,42,64,"hangulfont_1.tex:15,0","10,2",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
갚,U+AC1A,16,C0,2B,0,43,64,"hangulfont_1.tex:0,1","11,2",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
갛,U+AC1B,17,C0,2C,0,44,64,"hangulfont_1.tex:1,1","12,2",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
