page,index_decimal,index_hex,byte_sequence,font_page,cell_index,cell_x,cell_y
c0,0,00,C0 00,hangulfont_1.tex,0,0,0
c0,1,01,C0 01,hangulfont_1.tex,1,1,0
c0,2,02,C0 02,hangulfont_1.tex,2,2,0
c0,3,03,C0 03,hangulfont_1.tex,3,3,0
c0,4,04,C0 04,hangulfont_1.tex,4,4,0
c0,5,05,C0 05,hangulfont_1.tex,5,5,0
c0,6,06,C0 06,hangulfont_1.tex,6,6,0
c0,7,07,C0 07,hangulfont_1.tex,7,7,0
c0,8,08,C0 08,hangulfont_1.tex,8,8,0
c0,9,09,C0 09,hangulfont_1.tex,9,9,0
c0,10,0A,C0 0A,hangulfont_1.tex,10,10,0
c0,11,0B,C0 0B,hangulfont_1.tex,11,11,0
c0,12,0C,C0 0C,hangulfont_1.tex,12,12,0
c0,13,0D,C0 0D,hangulfont_1.tex,13,13,0
c0,14,0E,C0 0E,hangulfont_1.tex,14,14,0
c0,15,0F,C0 0F,hangulfont_1.tex,15,15,0
c0,16,10,C0 10,hangulfont_1.tex,16,0,1
c0,17,11,C0 11,hangulfont_1.tex,17,1,1
c0,19,13,C0 13,hangulfont_1.tex,19,3,1
c0,20,14,C0 14,hangulfont_1.tex,20,4,1
c0,21,15,C0 15,hangulfont_1.tex,21,5,1
c0,22,16,C0 16,hangulfont_1.tex,22,6,1
c0,23,17,C0 17,hangulfont_1.tex,23,7,1
c0,24,18,C0 18,hangulfont_1.tex,24,8,1
c0,25,19,C0 19,hangulfont_1.tex,25,9,1
c0,26,1A,C0 1A,hangulfont_1.tex,26,10,1
c0,31,1F,C0 1F,hangulfont_1.tex,31,15,1
c0,52,34,C0 34,hangulfont_1.tex,52,4,3
c0,73,49,C0 49,hangulfont_1.tex,73,9,4
c0,94,5E,C0 5E,hangulfont_1.tex,94,14,5
c0,99,63,C0 63,hangulfont_1.tex,99,3,6
c0,115,73,C0 73,hangulfont_1.tex,115,3,7
c0,136,88,C0 88,hangulfont_1.tex,136,8,8
c0,157,9D,C0 9D,hangulfont_1.tex,157,13,9
c0,178,B2,C0 B2,hangulfont_1.tex,178,2,11
c0,192,C0,C0 C0,hangulfont_1.tex,192,0,12
c0,193,C1,C0 C1,hangulfont_1.tex,193,1,12
c0,194,C2,C0 C2,hangulfont_1.tex,194,2,12
c0,195,C3,C0 C3,hangulfont_1.tex,195,3,12
c0,196,C4,C0 C4,hangulfont_1.tex,196,4,12
c0,197,C5,C0 C5,hangulfont_1.tex,197,5,12
c0,198,C6,C0 C6,hangulfont_1.tex,198,6,12
c0,199,C7,C0 C7,hangulfont_1.tex,199,7,12
c0,200,C8,C0 C8,hangulfont_1.tex,200,8,12
c0,201,C9,C0 C9,hangulfont_1.tex,201,9,12
c0,202,CA,C0 CA,hangulfont_1.tex,202,10,12
c0,203,CB,C0 CB,hangulfont_1.tex,203,11,12
c0,204,CC,C0 CC,hangulfont_1.tex,204,12,12
c0,205,CD,C0 CD,hangulfont_1.tex,205,13,12
c0,206,CE,C0 CE,hangulfont_1.tex,206,14,12
c0,207,CF,C0 CF,hangulfont_1.tex,207,15,12
c0,208,D0,C0 D0,hangulfont_1.tex,208,0,13
c0,209,D1,C0 D1,hangulfont_1.tex,209,1,13
c0,210,D2,C0 D2,hangulfont_1.tex,210,2,13
c0,211,D3,C0 D3,hangulfont_1.tex,211,3,13
c0,212,D4,C0 D4,hangulfont_1.tex,212,4,13
c0,213,D5,C0 D5,hangulfont_1.tex,213,5,13
c0,214,D6,C0 D6,hangulfont_1.tex,214,6,13
c0,215,D7,C0 D7,hangulfont_1.tex,215,7,13
c0,216,D8,C0 D8,hangulfont_1.tex,216,8,13
c0,217,D9,C0 D9,hangulfont_1.tex,217,9,13
c0,218,DA,C0 DA,hangulfont_1.tex,218,10,13
c0,219,DB,C0 DB,hangulfont_1.tex,219,11,13
c0,220,DC,C0 DC,hangulfont_1.tex,220,12,13
c0,221,DD,C0 DD,hangulfont_1.tex,221,13,13
c0,222,DE,C0 DE,hangulfont_1.tex,222,14,13
c0,223,DF,C0 DF,hangulfont_1.tex,223,15,13
c0,224,E0,C0 E0,hangulfont_1.tex,224,0,14
c0,225,E1,C0 E1,hangulfont_1.tex,225,1,14
c0,226,E2,C0 E2,hangulfont_1.tex,226,2,14
c0,227,E3,C0 E3,hangulfont_1.tex,227,3,14
c0,228,E4,C0 E4,hangulfont_1.tex,228,4,14
c0,229,E5,C0 E5,hangulfont_1.tex,229,5,14
c0,230,E6,C0 E6,hangulfont_1.tex,230,6,14
c0,231,E7,C0 E7,hangulfont_1.tex,231,7,14
c0,232,E8,C0 E8,hangulfont_1.tex,232,8,14
c0,233,E9,C0 E9,hangulfont_1.tex,233,9,14
c0,234,EA,C0 EA,hangulfont_1.tex,234,10,14
c0,235,EB,C0 EB,hangulfont_1.tex,235,11,14
c0,236,EC,C0 EC,hangulfont_1.tex,236,12,14
c0,237,ED,C0 ED,hangulfont_1.tex,237,13,14
c0,238,EE,C0 EE,hangulfont_1.tex,238,14,14
c0,239,EF,C0 EF,hangulfont_1.tex,239,15,14
