bytes,jafont,lead_hex,slot_hex,slot_decimal,row_1based,column_1based,unicode,char,source_glyph,notes
C0 1A,jafont_7.tex,C0,1A,26,2,11,U+AC00,가,hangulfont_1.tex.png:00,exact ff7K(PC).tbl byte position
C0 1B,jafont_7.tex,C0,1B,27,2,12,U+AC01,각,hangulfont_1.tex.png:01,exact ff7K(PC).tbl byte position
C0 1C,jafont_7.tex,C0,1C,28,2,13,U+AC04,간,hangulfont_1.tex.png:02,exact ff7K(PC).tbl byte position
C0 1D,jafont_7.tex,C0,1D,29,2,14,U+AC07,갇,hangulfont_1.tex.png:03,exact ff7K(PC).tbl byte position
C0 1E,jafont_7.tex,C0,1E,30,2,15,U+AC08,갈,hangulfont_1.tex.png:04,exact ff7K(PC).tbl byte position
C0 20,jafont_7.tex,C0,20,32,3,1,U+AC09,갉,hangulfont_1.tex.png:05,exact ff7K(PC).tbl byte position
C0 21,jafont_7.tex,C0,21,33,3,2,U+AC0A,갊,hangulfont_1.tex.png:06,exact ff7K(PC).tbl byte position
C0 22,jafont_7.tex,C0,22,34,3,3,U+AC10,감,hangulfont_1.tex.png:07,exact ff7K(PC).tbl byte position
C0 23,jafont_7.tex,C0,23,35,3,4,U+AC11,갑,hangulfont_1.tex.png:08,exact ff7K(PC).tbl byte position
C0 24,jafont_7.tex,C0,24,36,3,5,U+AC12,값,hangulfont_1.tex.png:09,exact ff7K(PC).tbl byte position
C0 25,jafont_7.tex,C0,25,37,3,6,U+AC13,갓,hangulfont_1.tex.png:0A,exact ff7K(PC).tbl byte position
C0 26,jafont_7.tex,C0,26,38,3,7,U+AC14,갔,hangulfont_1.tex.png:0B,exact ff7K(PC).tbl byte position
C0 27,jafont_7.tex,C0,27,39,3,8,U+AC15,강,hangulfont_1.tex.png:0C,exact ff7K(PC).tbl byte position
C0 28,jafont_7.tex,C0,28,40,3,9,U+AC16,갖,hangulfont_1.tex.png:0D,exact ff7K(PC).tbl byte position
C0 29,jafont_7.tex,C0,29,41,3,10,U+AC17,갗,hangulfont_1.tex.png:0E,exact ff7K(PC).tbl byte position
C0 2A,jafont_7.tex,C0,2A,42,3,11,U+AC19,같,hangulfont_1.tex.png:0F,exact ff7K(PC).tbl byte position
C0 2B,jafont_7.tex,C0,2B,43,3,12,U+AC1A,갚,hangulfont_1.tex.png:10,exact ff7K(PC).tbl byte position
C0 2C,jafont_7.tex,C0,2C,44,3,13,U+AC1B,갛,hangulfont_1.tex.png:11,exact ff7K(PC).tbl byte position
C0 2D,jafont_7.tex,C0,2D,45,3,14,U+AC1C,개,hangulfont_1.tex.png:12,exact ff7K(PC).tbl byte position
C0 2E,jafont_7.tex,C0,2E,46,3,15,U+AC1D,객,hangulfont_1.tex.png:13,exact ff7K(PC).tbl byte position
C0 2F,jafont_7.tex,C0,2F,47,3,16,U+AC20,갠,hangulfont_1.tex.png:14,exact ff7K(PC).tbl byte position
C0 30,jafont_7.tex,C0,30,48,4,1,U+AC24,갤,hangulfont_1.tex.png:15,exact ff7K(PC).tbl byte position
C0 31,jafont_7.tex,C0,31,49,4,2,U+AC2C,갬,hangulfont_1.tex.png:16,exact ff7K(PC).tbl byte position
C0 32,jafont_7.tex,C0,32,50,4,3,U+AC2D,갭,hangulfont_1.tex.png:17,exact ff7K(PC).tbl byte position
C0 33,jafont_7.tex,C0,33,51,4,4,U+AC2F,갯,hangulfont_1.tex.png:18,exact ff7K(PC).tbl byte position
C0 35,jafont_7.tex,C0,35,53,4,6,U+AC30,갰,hangulfont_1.tex.png:19,exact ff7K(PC).tbl byte position
C0 36,jafont_7.tex,C0,36,54,4,7,U+AC31,갱,hangulfont_1.tex.png:1A,exact ff7K(PC).tbl byte position
C0 37,jafont_7.tex,C0,37,55,4,8,U+AC38,갸,hangulfont_1.tex.png:1B,exact ff7K(PC).tbl byte position
C0 38,jafont_7.tex,C0,38,56,4,9,U+AC39,갹,hangulfont_1.tex.png:1C,exact ff7K(PC).tbl byte position
C0 39,jafont_7.tex,C0,39,57,4,10,U+AC3C,갼,hangulfont_1.tex.png:1D,exact ff7K(PC).tbl byte position
C0 3A,jafont_7.tex,C0,3A,58,4,11,U+AC40,걀,hangulfont_1.tex.png:1E,exact ff7K(PC).tbl byte position
C0 3B,jafont_7.tex,C0,3B,59,4,12,U+AC4B,걋,hangulfont_1.tex.png:1F,exact ff7K(PC).tbl byte position
C0 3C,jafont_7.tex,C0,3C,60,4,13,U+AC4D,걍,hangulfont_1.tex.png:20,exact ff7K(PC).tbl byte position
C0 3D,jafont_7.tex,C0,3D,61,4,14,U+AC54,걔,hangulfont_1.tex.png:21,exact ff7K(PC).tbl byte position
C0 3E,jafont_7.tex,C0,3E,62,4,15,U+AC58,걘,hangulfont_1.tex.png:22,exact ff7K(PC).tbl byte position
C0 3F,jafont_7.tex,C0,3F,63,4,16,U+AC5C,걜,hangulfont_1.tex.png:23,exact ff7K(PC).tbl byte position
C0 40,jafont_7.tex,C0,40,64,5,1,U+AC70,거,hangulfont_1.tex.png:24,exact ff7K(PC).tbl byte position
C0 41,jafont_7.tex,C0,41,65,5,2,U+AC71,걱,hangulfont_1.tex.png:25,exact ff7K(PC).tbl byte position
C0 42,jafont_7.tex,C0,42,66,5,3,U+AC74,건,hangulfont_1.tex.png:26,exact ff7K(PC).tbl byte position
C0 43,jafont_7.tex,C0,43,67,5,4,U+AC77,걷,hangulfont_1.tex.png:27,exact ff7K(PC).tbl byte position
C0 44,jafont_7.tex,C0,44,68,5,5,U+AC78,걸,hangulfont_1.tex.png:28,exact ff7K(PC).tbl byte position
C0 45,jafont_7.tex,C0,45,69,5,6,U+AC7A,걺,hangulfont_1.tex.png:29,exact ff7K(PC).tbl byte position
C0 46,jafont_7.tex,C0,46,70,5,7,U+AC80,검,hangulfont_1.tex.png:2A,exact ff7K(PC).tbl byte position
C0 47,jafont_7.tex,C0,47,71,5,8,U+AC81,겁,hangulfont_1.tex.png:2B,exact ff7K(PC).tbl byte position
C0 48,jafont_7.tex,C0,48,72,5,9,U+AC83,것,hangulfont_1.tex.png:2C,exact ff7K(PC).tbl byte position
C0 4A,jafont_7.tex,C0,4A,74,5,11,U+AC84,겄,hangulfont_1.tex.png:2D,exact ff7K(PC).tbl byte position
C0 4B,jafont_7.tex,C0,4B,75,5,12,U+AC85,겅,hangulfont_1.tex.png:2E,exact ff7K(PC).tbl byte position
C0 4C,jafont_7.tex,C0,4C,76,5,13,U+AC86,겆,hangulfont_1.tex.png:2F,exact ff7K(PC).tbl byte position
C0 4D,jafont_7.tex,C0,4D,77,5,14,U+AC89,겉,hangulfont_1.tex.png:30,exact ff7K(PC).tbl byte position
C0 4E,jafont_7.tex,C0,4E,78,5,15,U+AC8A,겊,hangulfont_1.tex.png:31,exact ff7K(PC).tbl byte position
C0 4F,jafont_7.tex,C0,4F,79,5,16,U+AC8B,겋,hangulfont_1.tex.png:32,exact ff7K(PC).tbl byte position
C0 50,jafont_7.tex,C0,50,80,6,1,U+AC8C,게,hangulfont_1.tex.png:33,exact ff7K(PC).tbl byte position
C0 51,jafont_7.tex,C0,51,81,6,2,U+AC90,겐,hangulfont_1.tex.png:34,exact ff7K(PC).tbl byte position
C0 52,jafont_7.tex,C0,52,82,6,3,U+AC94,겔,hangulfont_1.tex.png:35,exact ff7K(PC).tbl byte position
C0 53,jafont_7.tex,C0,53,83,6,4,U+AC9C,겜,hangulfont_1.tex.png:36,exact ff7K(PC).tbl byte position
C0 54,jafont_7.tex,C0,54,84,6,5,U+AC9D,겝,hangulfont_1.tex.png:37,exact ff7K(PC).tbl byte position
C0 55,jafont_7.tex,C0,55,85,6,6,U+AC9F,겟,hangulfont_1.tex.png:38,exact ff7K(PC).tbl byte position
